구,교통이용만족도_평균,보행환경만족도_주거지역,녹지현황(개소),상수도요금평단,구별 의료기관 수,노인여가복지시설 개수,도시 위험도,구별 지방세 징수액,구별 주택매매지수,보육시설이용률,구별 초등학교 교원 1인당 학생 수,구별 중학교 교원 1인당 학생 수,구별 고등학교 교원 1인당 학생수,구별 유치원 교원 1인당 학생 수
서대문구,-0.18781729419266657,-0.1682481949304728,-0.044602894113862444,0.024331484729376882,-0.17577478288287027,-0.09472072700460334,0.07259684684940733,-0.12372651067920368,-0.0019193913462237236,-0.002123005478544681,-0.013210512615453118,0.004012004705908942,-0.021381707106460878,0.06553464336494537
서초구,0.04809965623384722,0.24235097924608923,-0.0035116779709587153,0.0245793046055888,0.2513074048288865,-0.018651928215926376,0.01885518500582318,0.21931454831736993,0.005231621167680669,-0.019743055137622156,-0.05486290884052564,-0.01653924038788642,-0.043296693769676924,0.03365579627211821
성동구,-0.15719576106355626,-0.19586085168030046,0.0492893095003439,-0.04940677237193038,-0.16666158807204762,0.037388727790971396,0.09313308209204035,-0.05647590935802965,0.012722533545335056,0.00016672154238281953,0.04452499605363225,0.015971557606311738,0.09489794235460808,0.026304246968510085
성북구,-0.01614612836711271,0.048853231865101814,0.014332690867298468,-0.03439635931658551,-0.13587755866218343,0.08923736678279028,0.298187812130893,-0.16008616745043505,0.004077515460134151,-0.0626826834782894,-0.04544401527024712,-0.005960045432280411,0.041223272989124544,-0.043495151927524095
송파구,0.11184929306855089,0.2473555149956298,0.0016253399136197636,0.006753621731142809,0.17633681999144216,0.05251249735977216,0.06859488047200997,0.10892999793950377,0.009479625840671281,-0.13442460372485682,-0.013220795301160231,-0.009342796749890667,-0.02848065999195658,0.03109355291979303
양천구,-0.10442827294577998,-0.05220722665622553,-0.03419150555271379,0.018448508089024502,-0.04137483706037755,0.1250007288911259,0.2015140467653005,-0.08733627376503812,0.01772549138933656,-0.028474094958334095,-0.07442301985996164,-0.04561478831046132,-0.10723800199084267,0.06202320376547804
영등포구,-0.12353486829019929,-0.14427585032160709,0.03428728345000159,-0.04513575748640406,0.04005458569248427,0.1556920912451605,-0.12005383849264174,0.1749866407063863,0.002836892299482225,-0.021731485968757482,0.05166648163248385,0.00895372670813496,0.03446510556586197,0.04232539214039469
용산구,-0.031187614874061395,-0.1908318867364908,0.025563234577870877,0.025995023347718527,-0.23362221098097027,-0.09596480668262003,-0.10015282328399112,0.009353432087358742,0.028049731286643093,-0.08014540915829926,0.06524916981286846,0.015605109949637546,0.08108288401923648,-0.01719666320223351
은평구,0.10056695574259945,0.15079884207129862,-0.058126603604400286,0.03707984857776128,-0.07243770557786518,0.038512047070750614,0.19721604797057493,-0.15664010633099573,0.0028160254326359433,0.04860873269847872,-0.06355388515123939,-0.02156307539429847,-0.004370720981445249,-0.047709403395656116
종로구,-0.08117881152062457,-0.051555173947463555,0.029588783792136565,0.06339469221548531,-0.06853205214933604,-0.11978444900073375,-0.2863115931347725,0.030927259412217484,0.004458695221354112,0.14527683614740713,0.058948519928639004,0.022303180553317776,0.028685963646263735,-0.00905398933024845
중구,0.07718391983214547,0.022784417200020755,0.017769626468977832,0.002321673426101835,-0.04062245698817394,-0.13055388290862596,-0.37313966787772684,0.1192163230516797,0.0017513327272404755,0.06849241254977863,0.027217025980269566,0.029091863482867766,0.04018757140644542,0.0496678260999459
중랑구,-0.18730653364409236,-0.19496590490274995,-0.0028750121694722176,-0.049685159843343846,-0.18222564603976588,-0.057929444675666464,0.021766293971611006,-0.18645457560653722,-0.007950372627717327,-0.031529162113714225,0.01926275429565203,0.005146368290699793,0.022592440443286815,0.030310331375690884
